Date,BACB
2021-01-01,-0.00012568819149015706
2021-01-02,-0.00770042452728144
2021-01-03,0.058137918748925876
2021-01-04,0.021240319838449543
2021-01-05,0.020917936534818618
2021-01-06,0.021663785479563966
2021-01-07,0.004113709903332573
2021-01-08,0.035965615495160544
2021-01-09,0.024310084666769198
2021-01-10,-0.0037693754962072213
2021-01-11,-0.0630523086412032
2021-01-12,-0.004785980070545108
2021-01-13,0.04994538372314715
2021-01-14,0.015935815009862443
2021-01-15,0.033836743839047896
2021-01-16,0.04364663060642574
2021-01-17,0.03377153562171848
2021-01-18,0.003999314092237184
2021-01-19,-0.03013073585630065
2021-01-20,0.013935909926221204
2021-01-21,-0.10038512613416686
2021-01-22,0.06350351835322542
2021-01-23,0.008125641107216464
2021-01-24,0.01459599322497903
2021-01-25,-0.017630606169793287
2021-01-26,0.003417192592780966
2021-01-27,-0.04955909662177706
2021-01-28,0.032177104601917035
2021-01-29,0.004412951665267915
2021-01-30,0.016289503675285828
2021-01-31,-0.012125124373930048
2021-02-01,0.03453856142626741
2021-02-02,0.023459017061999543
2021-02-03,0.03799380264936546
2021-02-04,-0.010081592068282314
2021-02-05,0.07592353407116854
2021-02-06,-0.03889508229640711
2021-02-07,0.05275756851633181
2021-02-08,0.05231399855658269
2021-02-09,0.017094631277723354
2021-02-10,0.0009715390461177906
2021-02-11,0.04299330799560155
2021-02-12,0.10316630305290105
2021-02-13,-0.014148769052774802
2021-02-14,-0.022696355941821685
2021-02-15,-0.00393668827887892
2021-02-16,0.006593314475236889
2021-02-17,0.016645139677586865
2021-02-18,0.0006211158174970755
2021-02-19,0.019498580489521217
2021-02-20,-0.02614450911080195
2021-02-21,0.0022452617570282857
2021-02-22,-0.01535322234718079
2021-02-23,-0.040851726288243725
2021-02-24,0.0133244397400257
2021-02-25,-0.04201822888346967
2021-02-26,0.008597255295251844
2021-02-27,0.01092798792768716
2021-02-28,-0.030990463173814427
2021-03-01,0.044115017745266875
2021-03-02,-0.02863512482084027
2021-03-03,0.020187283926343797
2021-03-04,-0.012083898849802545
2021-03-05,-0.001968334869735968
2021-03-06,0.0022782408043007045
2021-03-07,0.00893245397199879
2021-03-08,-0.0005705572501022634
2021-03-09,0.01000628632313168
2021-03-10,-0.00698419220110655
2021-03-11,0.0018375792602254375
2021-03-12,-0.005864243433171928
2021-03-13,0.010245497412535656
2021-03-14,-0.012514011869297804
2021-03-15,-0.004101499120255948
2021-03-16,0.008694026641409364
2021-03-17,0.005280804455917738
2021-03-18,-0.004214728571146029
2021-03-19,-0.001421757099541131
2021-03-20,0.0012256639122635233
2021-03-21,-0.007530205970679097
2021-03-22,-0.005912021003191711
2021-03-23,-0.00034903960477875257
2021-03-24,-0.011639207631215613
2021-03-25,-0.004386670574245012
2021-03-26,0.017909233421592955
2021-03-27,0.001312089412536536
2021-03-28,0.005307582469000665
2021-03-29,0.013114858624684634
2021-03-30,0.001469750578402588
2021-03-31,0.0030736513654240107
2021-04-01,-0.0032914117446840785
2021-04-02,0.008101389542986665
2021-04-03,0.0005595997665204053
2021-04-04,0.008255605225492327
2021-04-05,0.0025255005803743636
2021-04-06,0.007197564303245791
2021-04-07,-0.014808896873366093
2021-04-08,0.0085612328776786
2021-04-09,0.003831889751778505
2021-04-10,-0.0003207412526020935
2021-04-11,0.010344359754258509
2021-04-12,-0.005808779278485344
2021-04-13,0.001615360898664216
2021-04-14,0.00656315736574282
2021-04-15,-0.004734297269634849
2021-04-16,-0.013261044620231331
2021-04-17,0.00362989994791239
2021-04-18,-0.006946637762051266
2021-04-19,-0.02045987298672135
2021-04-20,0.008662661888082472
2021-04-21,-0.005385643246861207
2021-04-22,0.002906053663257469
2021-04-23,-0.001091794694253822
2021-04-24,-0.004938219371282563
2021-04-25,0.009214076341463043
2021-04-26,0.011710602153415775
2021-04-27,0.00017404992099592963
2021-04-28,-0.004800904288150027
2021-04-29,0.0022986663969477472
2021-04-30,0.003803416445089206
2021-05-01,0.009399536684019523
2021-05-02,-0.003938269787892572
2021-05-03,0.00786375340581279
2021-05-04,-0.01859762956082936
2021-05-05,0.01427005634402261
2021-05-06,0.005280266540999448
2021-05-07,0.004857521366257959
2021-05-08,0.003255464528318689
2021-05-09,-0.002853935857176266
2021-05-10,-0.013137203199710991
2021-05-11,0.012327701028417997
2021-05-12,-0.01885414527908017
2021-05-13,0.007341622845263502
2021-05-14,0.005787217170865801
2021-05-15,-0.005461195515913824
2021-05-16,0.0010337317408895066
2021-05-17,-0.013640616121790041
2021-05-18,0.011579037950903436
2021-05-19,-0.04956713554302688
2021-05-20,0.026613327306818577
2021-05-21,-0.022740083004235474
2021-05-22,-0.012850675807593411
2021-05-23,-0.018192697811710477
2021-05-24,0.028734111384476957
2021-05-25,0.00031952412321463274
2021-05-26,0.009260568622007363
2021-05-27,-0.005994316176221934
2021-05-28,-0.01815206041870901
2021-05-29,-0.00978386886448539
2021-05-30,0.009231477564790177
2021-05-31,0.01794592946973682
2021-06-01,-0.0029171075174673606
2021-06-02,0.010826900753041204
2021-06-03,0.01313721336078308
2021-06-04,-0.014258526434532692
2021-06-05,0.0014697629017695107
2021-06-06,0.008626915748908314
2021-06-07,-0.012426711694754143
2021-06-08,0.0021353817419502968
2021-06-09,0.007513186201511037
2021-06-10,-0.0037606400649454075
2021-06-11,-0.006563789244767114
2021-06-12,-0.0017984578667554303
2021-06-13,0.006937192178734785
2021-06-14,0.0003939658597833821
2021-06-15,0.00820659257456888
2021-06-16,-0.008884817107924364
2021-06-17,0.0032341961863928317
