Coin,CF_Beta,FP_Beta,Ann_Return,Volatility,Sharpe,MDD
DOGE,0.38777619566304733,1.2141042799911204,0.7209028142378205,1.026224929650234,0.7024803173350352,-0.9225850212888328
ENS,0.3898499155780956,1.0050880097768218,0.16571046627230535,0.8883198391386341,0.1865436962805961,-0.9112453796884683
THETA,0.3906143375876972,1.1428488520705198,0.15515906108464675,0.9113954519732137,0.1702434006541509,-0.981794427471766
SUI,0.3919806322292662,0.842405708606117,-0.04299794308272743,1.2330056251229145,-0.034872463033930684,-0.9993426530604247
ZIL,0.39965038516802104,1.1302135156391124,-0.03281586741485211,0.9075096964604213,-0.03616034907708921,-0.9880376492929069
COMP,0.4000000000000001,0.7891824094835774,0.0,1.0824843781247036,0.0,-0.995545512996614
SEI,0.4071737378400885,0.7933669233905021,0.17147390361250575,0.6790360040502029,0.2525254958348692,-0.8977648826509264
OP,0.40802666889672595,0.9422174064836709,0.11385028987854126,0.7876642544326664,0.14454164859943353,-0.9464415783567836
FIL,0.4167461514027457,1.126424960429295,0.025780659682930106,0.9407422884052472,0.02740459316082586,-0.9947281661909152
ARB,0.4364191710670413,1.5122820079178698,0.29551700562418187,1.4939537442559645,0.1978086716274864,-0.9996172636028037
SOL,0.4436163961532691,1.0588832588822787,1.034750070081636,0.9451217351052837,1.0948325825628886,-0.9627249768997586
ALGO,0.4620240431986932,1.0841179743368985,0.21541236748376485,0.871968840718701,0.24704135907679453,-0.9627897669419896
XTZ,0.5011455541425212,1.0525368374283683,0.16927392494632582,0.8471916967654012,0.19980593010131928,-0.9506472082094335
IMX,0.5297186700469454,0.7236968309443736,-0.36836897212739783,0.9693815311459199,-0.3800041163275966,-0.9979949301083689
NEAR,0.6002525906188609,1.0352971750848783,0.5328953716570421,1.0102130045970175,0.5275079307354775,-0.9511526948107919
ATOM,0.6550102209362736,1.0156544311961868,0.25112308097670083,0.877146802121206,0.2862953845005298,-0.9584159190904888
