Group,N_Coins,Avg_CF_Beta,Avg_Return,Avg_Sharpe,Avg_Vol,Avg_MDD
Low CF Beta,16,0.34503592549334067,0.4432763962823624,0.4372625226903582,1.0136637890362716,-0.9557363768070322
Mid CF Beta,16,0.3675871571396255,0.3710158236606211,0.4048884535052404,0.9934872300933574,-0.9281174082492405
High CF Beta,16,0.4512502919080808,0.21297913955708897,0.2241246301269244,0.9669599888792333,-0.9638017519163296
