Date,BTC_Return,ETH_Return,Market_Return,BTC_Cumulative,Market_Cumulative,Return_100W,Valuation_Proxy,Volatility_20D
2021-01-01,,,,0.0,0.0,,,
2021-01-02,0.09372577639540935,0.06047286631119175,0.08374990337014407,0.09372577639540935,0.0837499033701441,,,
2021-01-03,0.020380066800975483,0.2594753293956862,0.09210864557938869,0.11601598078029651,0.18357263911636146,,,
2021-01-04,-0.024712000360334718,0.06635041674388553,0.002606724770931358,0.08843699346111444,0.18665788723294274,,,
2021-01-05,0.06319658000613337,0.057461231702209625,0.061475975514956246,0.15722248900001512,0.259608838453105,,,
2021-01-06,0.08331071417326141,0.09736862255513934,0.08752808668782477,0.2536315210159654,0.36985999005797865,,,
2021-01-07,0.0691574669750421,0.015380441218393326,0.053024359248047465,0.3403295015294989,0.44249593829033973,,,
2021-01-08,0.0362338992996023,-0.0012082756724967059,0.0250012468079726,0.388894865716205,0.4785601352630344,,,
2021-01-09,-0.013311135341493308,0.04646320835871487,0.004621167768569145,0.37040709818355144,0.48539280970400345,,,
2021-01-10,-0.047152573214749416,-0.014699009060386903,-0.03741650396844066,0.3057888771524393,0.42981460374502034,,,
2021-01-11,-0.07273315912449108,-0.13634523092842832,-0.09181678066567224,0.21081472696752046,0.2985336298803887,,,
2021-01-12,-0.046214502171538774,-0.0428482439504031,-0.04520462470519807,0.1548575271387489,0.2398339044745672,,,
2021-01-13,0.10003249550509552,0.08367061246989871,0.09512393059453647,0.27038080753128146,0.35777177875255894,,,
2021-01-14,0.050138030111625875,0.07757191852287426,0.05836819663500038,0.33407519871251634,0.43702246892024266,,,
2021-01-15,-0.06027358971670127,-0.03826032525754719,-0.05366961037895504,0.2536656975340914,0.35989803290748923,,,
2021-01-16,-0.017575563040677422,0.052655044668727724,0.003493619272144123,0.23163181703514613,0.36464899888340585,,,
2021-01-17,-0.010693288117263444,-0.0027282155417935883,-0.008303766344622487,0.21846162316120066,0.35331727245425504,,,
2021-01-18,0.023435790428599335,0.02203536943575002,0.02301566413074454,0.2470172344068975,0.38446476825939757,,,
2021-01-19,-0.015295342507474663,0.09545717838129009,0.01793041375915476,0.22794367869392018,0.4092887943892609,,,
2021-01-20,-0.014473454791977813,0.00361443711529974,-0.009047087219794548,0.21017109137324885,0.3965388357485422,,,
2021-01-21,-0.1328368400602007,-0.18860451399286926,-0.14956714224000126,0.049415787663022126,0.18766251305845438,,,1.0548168990923876
2021-01-22,0.07072224005462169,0.1024824037765284,0.0802502891711937,0.12363282291523636,0.2829727731691818,,,1.083704758571103
2021-01-23,-0.02842289017956734,-0.004465468609136769,-0.021235663708438168,0.09169593058735925,0.25572799481107866,,,1.043443401397324
2021-01-24,0.006914643868341619,0.13047928581876245,0.043984036453467865,0.09924461915988858,0.31095998071048925,,,1.0451824343517564
2021-01-25,0.0023851084933719235,-0.04828551839708972,-0.012816079573766568,0.10186643683734031,0.2941586132796803,,,1.0598266795152993
2021-01-26,0.006286058316783416,0.0246473466409749,0.01179444481404086,0.10879283351660618,0.309422495624623,,,1.0364955980433725
2021-01-27,-0.06562212475675022,-0.07654128534445381,-0.0688978729330613,0.036031491866188814,0.2192060709053858,,,1.1066990653897817
2021-01-28,0.09968113394222766,0.06328269064744974,0.08876160095379429,0.13930428577526843,0.3274247536515331,,,1.3118506697389325
2021-01-29,0.02540747568580648,0.03754666640282833,0.029049232900913033,0.16825113171483874,0.3659854244787937,,,1.274999664963056
2021-01-30,-0.0013656239986477026,-0.004634533699547028,-0.0023462969089174997,0.1666557399329216,0.36278041709971265,,,1.2591561456637712
2021-01-31,-0.03370820328466961,-0.04442161534791822,-0.03692222690364419,0.12732987108803595,0.3124635293197142,,,1.126277347228678
2021-02-01,0.012768370405776608,0.041106378941601296,0.021269772966524013,0.14172403645158438,0.34037933061518744,,,1.1228921331956647
2021-02-02,0.05883361479570781,0.10675593258422955,0.07321031013226433,0.20889578861517766,0.4385089171044021,,,
2021-02-03,0.055245981743407446,0.09616976222373852,0.06752311588750676,0.275682423282694,0.5356415214192545,,,
2021-02-04,-0.014571470120209207,-0.03982567909810919,-0.0221477328135792,0.2570938549689541,0.5016305433054227,,,
2021-02-05,0.032991388091470286,0.07768440029221635,0.046399291751694105,0.2985671262056373,0.5713051369875057,,,
2021-02-06,0.029406828078771152,-0.023741923184774527,0.013462202699707448,0.3367538664347105,0.5924583652447233,,,
2021-02-07,-0.009233693380855112,-0.03791706041817189,-0.017838703492050145,0.32441069110637977,0.5640509726436878,,,
2021-02-08,0.18746473766529936,0.08201385173983122,0.15582947188765892,0.5726909938757552,0.807776209716133,,,
2021-02-09,0.006161523959955284,0.012262685569933707,0.00799187244294881,0.5823811671161265,0.8222237265895818,,,
2021-02-10,-0.03362488605290981,-0.01345653537210656,-0.027574380848668832,0.5291737806795764,0.7719770355611202,,,
2021-02-11,0.0665910372634968,0.022677205052725746,0.05341688760026548,0.6310030488911724,0.86663053369994,,,
2021-02-12,-0.008442623839676311,0.03348732312940794,0.004136360251048966,0.617233103668019,0.8743515900429306,,,
2021-02-13,-0.008406213773231364,-0.015959972504702824,-0.0106723413926728,0.6036382964774392,0.8543478699840934,,,
2021-02-14,0.03421623595697554,-0.004975308838028325,0.022458772518474376,0.6585087628193536,0.8959942469661837,,,
2021-02-15,-0.01585126109458379,-0.014012139783403876,-0.015299524701229816,0.6322193073922489,0.8669864361513349,,,
2021-02-16,0.026171883752032166,0.0007172130023165302,0.018535482527117474,0.6749375613631412,0.9015919306169835,,,
